name,movement_pattern,exercise_type,target_goals,body_parts,evidence_rationale,equipment_needed,default_sets,default_rep_range,unilateral,is_corrective,demo_video_url,is_complex
Barbell Back Squat,squat,strength,strength_power|aesthetic_physique,hips|knees|lower_back,Foundational bilateral compound for lower-body strength and hypertrophy; high evidence base for quad/glute development.,barbell|squat_rack,4,5-8,false,false,https://www.youtube.com/watch?v=ultWZbUMPL8,true
Front Squat,squat,strength,strength_power|aesthetic_physique,hips|knees,More quad-dominant and torso-upright than the back squat; reduces lower-back shear load while still building bilateral leg strength.,barbell|squat_rack,3,5-8,false,false,https://www.youtube.com/watch?v=0ect9ETE6t0,true
Goblet Squat,squat,strength,aesthetic_physique|total_body_resilience,hips|knees,Easier bar-path and depth cueing than a barbell squat; good entry point for squat-pattern volume without heavy axial load.,dumbbell,3,10-15,false,false,https://www.youtube.com/watch?v=MeIiIdhvXT4,false
Smith Machine Squat,squat,strength,aesthetic_physique|strength_power,hips|knees,Fixed bar path lets lifters push closer to failure safely; useful for hypertrophy accumulation without a spotter.,smith_machine,3,8-12,false,false,https://www.youtube.com/watch?v=iAcRGCsG_PY,false
Bulgarian Split Squat,squat,strength,strength_power|total_body_resilience,hips|knees|ankles,Single-leg squat pattern that corrects left/right strength asymmetry and trains hip stability through a long range of motion.,dumbbell|bench,3,8-12,true,false,https://www.youtube.com/watch?v=2C-uNgKwPLE,true
Cossack Squat,squat,strength,total_body_resilience|mobility_flexibility,ankles|knees|hips,Lateral squat variant building ankle and hip mobility under load through a wide deep stance; complements ATG split squat's sagittal-plane ankle work with a frontal-plane challenge.,bodyweight,3,6-8/side,true,false,https://www.youtube.com/watch?v=JaCbmoDqUc4,true
Leg Press,squat,strength,aesthetic_physique|strength_power,hips|knees,Machine-stabilized bilateral squat pattern; lets lifters load volume safely without balance/bracing demands.,leg_press_machine,3,8-12,false,false,https://www.youtube.com/watch?v=IZxyjW7MPJQ,false
Hack Squat,squat,strength,aesthetic_physique|strength_power,hips|knees,Fixed-path machine squat emphasizing quads with reduced lower-back shear versus a free barbell squat.,hack_squat_machine,3,8-12,false,false,https://www.youtube.com/watch?v=0tn5K9NlCfo,false
Pistol Squat,squat,strength,total_body_resilience|strength_power,hips|knees|ankles,"Advanced unilateral bodyweight squat building single-leg strength, ankle dorsiflexion, and balance simultaneously.",bodyweight,3,3-6,true,false,https://www.youtube.com/watch?v=hHxm3VbuS-w,true
Box Squat,squat,strength,strength_power,hips|lower_back,Teaches hip-hinge depth control and posterior-chain engagement out of the bottom of a squat; common powerlifting accessory.,barbell|squat_rack|box,3,5-8,false,false,https://www.youtube.com/watch?v=WGjf5w8iaTM,true
Walking Lunge,squat,strength,aesthetic_physique|total_body_resilience,hips|knees,Dynamic unilateral lower-body pattern that builds single-leg strength and balance through a long stride.,dumbbell,3,10-12,true,false,https://www.youtube.com/watch?v=L8fvypPrzzs,false
Step-Up,squat,strength,total_body_resilience|strength_power,hips|knees,Unilateral squat-pattern movement that closely mirrors stair/uneven-terrain demand; strong carryover to daily function.,dumbbell|box,3,8-12,true,false,https://www.youtube.com/watch?v=DxUNi119Qzs,false
Wall Sit,squat,strength,total_body_resilience,hips|knees,"Isometric squat hold; low-impact way to build quad endurance without joint loading, useful on lower-readiness days.",bodyweight,3,30-60s hold,false,false,https://www.youtube.com/watch?v=y-wV4Venusw,false
Box Jump,squat,plyometric,strength_power|total_body_resilience,hips|knees|ankles,Explosive triple-extension power development; CLAUDE.md flags plyometrics as part of the program's high-leverage toolkit.,plyo_box,3,3-5 reps,false,false,https://www.youtube.com/watch?v=G-bxQY57mKc,true
Jump Squat,squat,plyometric,strength_power,hips|knees,Loads the squat pattern with explosive intent; builds rate of force development on top of squat strength.,bodyweight,3,6-8 reps,false,false,https://www.youtube.com/watch?v=A-cFYWvaHr0,false
